_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
217.5573300|+27.5162200|J143013.8+273057|2| 0.389|217.55733|+27.51622| 0.3646|  1.9|  1.1| -7.2| 0.86
217.5576800|+40.2088700|J143013.8+401231|2| 0.217|217.55768|+40.20887| 0.5461|111.1| 53.2| 52.8| 3.03
217.6013800|+14.5908900|J143024.3+143527|2| 0.565|217.60138|+14.59089| 0.3891|  0.3|  0.2| -7.3| 1.10
217.6029900|+39.9564700|J143024.7+395722|2| 0.458|217.60299|+39.95647| 0.5120| 13.3|  8.8|  4.9| 0.53
217.6273600|+29.8794100|J143030.5+295245|2| 0.686|217.62736|+29.87941| 0.3503| 75.0| 67.3| 66.9| 5.37
217.6308600|+14.4154100|J143031.3+142456|2| 0.424|217.63086|+14.41541| 0.1457| 23.0| 14.5| 12.6| 7.55
217.6433700|+37.8357100|J143034.4+375008|3| 1.122|217.64337|+37.83571| 0.2054|  1.8|  2.8| -6.7| 0.95
217.6852400|+29.9663900|J143044.4+295759|2| 0.666|217.68524|+29.96639| 0.3425|  6.9|  6.0| -4.1| 0.87
217.7265600|+14.2458800|J143054.3+141445|2| 0.673|217.72656|+14.24588| 0.7495|  2.9|  2.6| -6.8| 1.60
217.7458400|+08.3949900|J143059.0+082342|3| 1.292|217.74584|+08.39499| 0.6274| 10.3| 20.7| 19.3| 1.07
217.7513900|+50.6609800|J143100.3+503939|2| 0.536|217.75139|+50.66098| 0.6435| 21.7| 15.9| 14.2| 0.93
217.7522100|+35.6094100|J143100.4+353631|2| 0.635|217.75221|+35.60941| 0.1620| 12.3| 10.3|  7.3| 1.15
217.7647800|+25.2623100|J143103.7+251544|2| 0.482|217.76478|+25.26231| 0.6639|  6.5|  4.5| -5.8| 1.09
217.7708000|+57.0341100|J143104.9+570202|2| 0.651|217.77080|+57.03411| 0.3432| 17.1| 14.6| 12.7| 1.30
217.8274800|+29.1406200|J143118.5+290826|2| 0.592|217.82748|+29.14062| 0.6920|  1.9|  1.5| -7.2| 1.02
217.9130200|+03.5228400|J143139.1+033122|2| 0.518|217.91302|+03.52284| 0.0564| 21.2| 15.2| 13.3| 0.66
217.9230200|+56.6847900|J143141.5+564105|2| 0.419|217.92302|+56.68479| 0.2866| 18.8| 11.8|  9.2| 1.32
217.9384500|+08.5362100|J143145.2+083210|2| 0.279|217.93845|+08.53621| 0.3471| 19.4| 10.1|  7.0| 1.40
217.9534000|+44.7982200|J143148.8+444753|2| 0.946|217.95340|+44.79822| 0.5566|  2.8|  3.6| -6.4| 1.01
218.0205400|+02.2227200|J143204.9+021321|2| 1.245|218.02054|+02.22272| 0.3499|  1.3|  2.4| -6.9| 0.97
218.1057700|+12.7901800|J143225.3+124724|2| 0.688|218.10577|+12.79018| 0.5582| 64.1| 57.7| 57.2| 1.21
218.1645000|+10.7264800|J143239.4+104335|2| 0.563|218.16450|+10.72648| 0.5192|  8.8|  6.7| -2.9| 0.86
